Ticker,Company,Sector,Industry,Country,Market Cap,P/E,EPS next 5Y,Perf Week,Perf Month,52w High,52w Low,Rel Vol,Volume,Price,Change
AAL,American Airlines Group Inc,Industrials,Airlines,USA,8.32B,16.22,6.75%,-1.60%,-4.22%,-33.96%,48.40%,1.55,"83,408,888",12.61,1.65%
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,2.13B,20.10,8.07%,18.05%,31.66%,1.80%,138.82%,2.90,"2,738,994",33.12,7.06%
CGON,Cg Oncology Inc,Healthcare,Biotechnology,USA,2.92B,,2.33%,14.06%,46.80%,-5.21%,159.19%,1.64,"1,170,657",38.36,7.27%
CHA,Chagee Holdings Ltd. ADR,Consumer Cyclical,Restaurants,China,2.10B,18.64,7.05%,4.57%,-23.13%,-57.44%,10.03%,1.58,"1,446,319",17.79,3.00%
CYTK,Cytokinetics Inc,Healthcare,Biotechnology,USA,5.83B,,11.67%,-6.37%,24.99%,-18.02%,66.10%,3.11,"4,529,653",48.69,-2.16%
DRVN,Driven Brands Holdings Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2.85B,,13.39%,-5.12%,2.88%,-12.18%,28.69%,1.69,"1,075,858",17.33,0.26%
GCMG,GCM Grosvenor Inc,Financial,Asset Management,USA,2.50B,90.77,9.82%,0.27%,-0.58%,-11.36%,19.51%,1.94,"822,119",12.84,-0.89%
GDS,GDS Holdings Limited ADR,Technology,Information Technology Services,China,7.94B,2726.55,-4.60%,18.01%,22.67%,-24.70%,138.45%,1.96,"3,531,074",39.53,5.94%
GSAT,Globalstar Inc,Communication Services,Telecom Services,USA,4.37B,,,10.80%,30.85%,-16.11%,129.87%,1.82,"1,223,919",34.48,7.45%
LYFT,Lyft Inc,Technology,Software - Application,USA,9.23B,103.72,12.30%,19.75%,41.73%,10.76%,135.04%,5.55,"81,093,753",22.70,12.46%
MARA,MARA Holdings Inc,Financial,Capital Markets,USA,6.33B,15.30,,7.66%,6.12%,-43.61%,74.06%,1.58,"62,132,211",17.08,-2.60%
MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology,Switzerland,3.32B,,-28.25%,-4.67%,-3.83%,-16.49%,64.45%,2.18,"919,617",51.67,-2.99%
MNDY,Monday.Com Ltd,Technology,Software - Application,Israel,9.66B,256.79,19.41%,1.60%,6.33%,-44.45%,14.51%,2.33,"1,960,956",190.34,-2.69%
OPEN,Opendoor Technologies Inc,Real Estate,Real Estate Services,USA,7.12B,,34.59%,65.02%,155.82%,-9.63%,1802.05%,2.25,"548,864,473",9.67,8.41%
QFIN,Qfin Holdings Inc. ADR,Financial,Credit Services,China,3.96B,4.35,16.24%,8.81%,2.41%,-37.43%,23.22%,1.62,"2,265,841",30.62,6.17%
RGTI,Rigetti Computing Inc,Technology,Computer Hardware,USA,6.80B,,25.25%,29.48%,26.05%,-2.14%,2852.45%,1.59,"52,340,419",20.96,4.81%
WAY,Waystar Holding Corp,Healthcare,Health Information Services,USA,6.78B,81.72,17.93%,-3.88%,7.30%,-19.08%,48.25%,1.80,"2,748,229",38.93,1.78%
WBTN,Webtoon Entertainment Inc,Communication Services,Internet Content & Information,USA,2.78B,,,51.83%,39.22%,-0.09%,215.57%,2.78,"1,850,448",21.30,2.41%
