No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,EPS next 5Y,Perf Week,Perf Month
1,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,,,10.15,0.00%,"5,577"
2,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,,,2.37,-3.27%,"18,008"
3,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,,,10.35,0.00%,"2,931"
4,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,85.7,-0.30%,274
5,AAL,American Airlines Group Inc,Industrials,Airlines,USA,,15.54,12.09,-2.89%,"24,815,888"
6,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,,12.2,-5.37%,"19,423"
7,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,,34.48,3.42,-0.87%,"15,320"
8,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,,,28.1,-3.07%,"1,727,309"
9,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,,62.49,91.66,0.11%,"141,274"
10,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,,29.81,6.65%,"286,067"
