,No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,,29.53,125.94,-0.31,1192134
1,,AA,Alcoa Corp,Basic Materials,Aluminum,USA,,8.09,31.53,-3.37,7976377
2,,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,25.03,-0.12,4813
3,,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,26.64,-0.43,1572
4,,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,37.16,0.43,1919108
5,,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,,-,10.18,0.3,7
6,,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,,-,2.04,-15.0,263385
7,,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,,-,10.4,0.48,104505
8,,AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,,33.98,8.88,-22.11,987227
9,,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,85.77,-0.35,3987
10,,AAL,American Airlines Group Inc,Industrials,Airlines,USA,,15.67,12.19,-1.14,72998522
11,,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,12.39,-2.16,19899
12,,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,,35.78,10.52,0.08,405
13,,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,,33.57,3.33,0.0,37452
14,,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,,20.21,48.44,-0.74,222209
15,,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,,-,28.06,-8.12,6143201
16,,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,,64.26,94.26,1.42,1083155
17,,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,,-,60.11,-0.08,1774298
18,,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,29.93,-1.64,279556
19,,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,13.99,-0.29,1998329
20,,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,,-,38.08,-0.6,5617
21,,AAPL,Apple Inc,Technology,Consumer Electronics,USA,,38.68,254.43,-0.64,60200325
22,,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,-,27.87,-0.18,2399
23,,AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,-,32.39,-1.97,3152363
24,,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,-,41.36,-1.41,22321
25,,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,-,28.06,-1.37,301303
26,,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,-,23.97,-0.51,1246
27,,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,,-,11.44,1.87,229317
28,,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,,17.16,20.89,0.67,251471
29,,AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,,-,17.19,3.24,193863
30,,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,-,53.76,-0.61,309
31,,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,-,28.77,-0.09,234
32,,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,-,91.19,-0.33,308565
33,,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,,11.38,38.19,-1.67,224295
34,,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,,-,4.13,9.55,15929736
35,,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,,105.94,222.61,0.01,4584206
36,,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,,13.22,75.0,-0.16,464940
37,,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,,-,4.9,1.45,10092174
38,,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,-,30.17,-0.05,2219
39,,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,,8.73,5.51,0.55,769686
40,,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,-,35.79,0.03,9001
41,,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,,14.22,2.32,2.2,57482414
42,,ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,,-,72.54,-0.62,5583
43,,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,,8.85,242.35,1.07,143395
44,,ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,-,25.03,0.0,14
45,,ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,-,31.47,-0.81,1824
46,,ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,,-,6.08,-0.65,841005
47,,ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,,-,29.17,0.64,2161
48,,ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,,-,31.24,-0.26,347
49,,ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,,-,23.59,-1.0,3
