ticker,headline,link,source,published
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","High school boys golf: Week 5 region recap from Regions 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 17 - Deseret News",https://news.google.com/rss/articles/CBMijAFBVV95cUxOamNBMVhFbXpUVlNvbHV6SnNnamdNeEhWX2FzWW5qSDVqbnZTTmx6bVRwNV9weTRhTW9QTzJqVERmNEljcEs1UzBkX3BQb2JoOE9Oa2pkZ2dFaWtuamh0dGZUX2hwM0xvanlIMFd6Y1V3aHV2S1A4ZUlRMXNtTzY3LWlHM2ZON1hHZ3V4Rg?oc=5,Deseret News,"Mon, 08 Sep 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","Trout Fire Morning Update for June 19, 2025 - New Mexico Fire Information",https://news.google.com/rss/articles/CBMigwFBVV95cUxNbnB5M09DSGpYMno1aGg1N3FGWHhlaHd6REk3UURubDM1STZUZGR0T2ZZYjliVnJMYk9Qa2RjVjNVMk1QTjRvdHBfTDlpTG1MZVJKaS1DOGIwYzNBYXVOMUs4c0FUbTF0WFNhaEZ3WEg0NU5ZaTh4Z0FLU2NRWXJXS2lRdw?oc=5,New Mexico Fire Information,"Thu, 19 Jun 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",Lenten Reflections 2025 - Catholic Telegraph,https://news.google.com/rss/articles/CBMidEFVX3lxTE5ocExybmVjVmRWdkZmMVBvdzNpNzg3M2l5QzBGeUlXQTF4cWx0Y1E4SndWTG5fbEJ4LWhxc24zQktXSmp1cnNMNG12cnhYM2tFY3Juamg2NzdacHBJcHM5U1dVcXdVZlM1dlFaSUg3cTRydlBL?oc=5,Catholic Telegraph,"Sat, 19 Apr 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",Diketopiperazine/piperidine alkaloid as a potential broad-spectrum coronaviral entry inhibitor identified by supercomputer-based virtual screening from a large natural product-based library - ScienceDirect.com,https://news.google.com/rss/articles/CBMidkFVX3lxTE4wYmVMVUVSTVZONTg0VFROUjYyOU03d2l2Uy1aNWNyT1I5a1hxZDNrRlphcEpZc1VoV0tsakh6bnV2M1dLcUJONWF2a3czZ0tJUmh4ZG0yOE44eXV6SDN1aFhzWmxpQWpqdk9Mb2lfbklqcV94aHc?oc=5,ScienceDirect.com,"Sun, 19 Jan 2025 11:06:44 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",Chromosomal rearrangements drive diversity in arboreal rodents of the genus Oecomys | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1hQ0dKeHdsR3RoUjBfNTE2SzFjeWdPVmFaTzlTZXdSUHVQdWh3b3FfV3pCTUd1VUhraERKVjhReGNSV29Manh3Y0dlS1NidzY5M2NuTmJOb3FrcG9ydXhZ?oc=5,Nature,"Wed, 19 Feb 2025 08:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","High school boys golf: Week 4 region recap from Regions 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 - Deseret News",https://news.google.com/rss/articles/CBMijAFBVV95cUxQblFzTDJjOTN0OWtOOExSMVpMT0RXbDBHQ0U2X0RKZjZ3R2ZUNUlGdE9aQ3RBR2lVZjZhNjdkUDgzNncxeExRY3hyU3RiRGVYaF9XRTR0UE1MaVFLcG1wUHljeVI3a1JSZW85UXlydnpwYWRxellGc0xOaTBrZlFsWjU5R2NaU1NNbTYySg?oc=5,Deseret News,"Tue, 02 Sep 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","Trout Fire Morning Update for June 20, 2025 - New Mexico Fire Information",https://news.google.com/rss/articles/CBMigwFBVV95cUxQZ0FlZ3lrUVRDZXRnblZ6YVNFY1R0WGhZNG5vZDdyTkZKenZkMFFjUUFLeTc1ckJxTDR2YzRNQ3FsbVAyeWhlT3dkRW9iUmdZNW5iQW9Ya19aOTdyczAyVXFqRjN5RURrd2VpcFBXTjB3bV81ejZqUHZhaXBIZWY0ZWxjNA?oc=5,New Mexico Fire Information,"Fri, 20 Jun 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",Mystic Messenger Zen route (Casual Story): A complete walkthrough to romancing Zen and getting his good ending - VG247,https://news.google.com/rss/articles/CBMilgFBVV95cUxNUkVDZVZ5ZElQWVhiUllaNTlPaTNJVy1vWG50YzNESFJ1cnpremJYSU5ycGtVZ1dSU0RueDEtZXJ0U0JCMEdTOVl3SlR5M2c4RFNNUGVvTlBiMmRHSHVYdmpmLWVlTVBrMEdPeXFYRDZTX3gyaUpxQ1dyOHpIT0ZCRXQ1Z09aaTE4dy1NLTlUcjhDeVBacVE?oc=5,VG247,"Tue, 18 Feb 2025 08:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","Alabama men, women predicted to win 2025 SEC cross country titles - Southeastern Conference",https://news.google.com/rss/articles/CBMipgFBVV95cUxPeU5iQmQxUjdUZlV1NllFWW91dnZJeUY3VU1jb0FKRlBQaEhlMVVOaHRiVWl5WkhaQ0dLaHhrTkVZSlhqblF5QlhLanRKUWk1bHlpYnliTklPZ3pCQ3hCY1JwdHFjSXhHaEMxcmdxNXFVRlB2RTJUQ0xYdjV6R0ltNk1wRWlyR0xfZmpJT1ByWURwRWlEcGpMLTB3QkFxajNsV1lrSWlR?oc=5,Southeastern Conference,"Tue, 26 Aug 2025 07:00:00 GMT"
"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']","High school boys golf: Week 3 region recap from Regions 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14 - Deseret News",https://news.google.com/rss/articles/CBMijAFBVV95cUxPSmVLaFR6eFBSNHJ4WTE0ekRzcTdjaDhMOVhxbXNzTHlZamVteDhOUVJlUnRhUkQ2TzFzVGpqR1FhQU5iOGdvZ3JpVXBobUFySVE2TEJyekVyYjlTdVpLQ2xjdERoekFZOXVRNkVmNnk2VTBNaDNzZEFsMmdFdU9LNjdwZTNaZWZfdGw2bw?oc=5,Deseret News,"Mon, 25 Aug 2025 07:00:00 GMT"
