Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,35080000000.0,35.08B,29.02,123.75,0.29,1479340
AA,Alcoa Corp,Basic Materials,Aluminum,USA,8760000000.0,8.76B,8.68,33.85,3.49,7457520
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.11,0.02,2161
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.57,-0.06,4094
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,37.81,1.67,1890393
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,295580000.0,295.58M,-,10.14,-0.39,106
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,45310000.0,45.31M,-,1.42,-13.41,219091
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330750000.0,330.75M,-,10.47,0.67,74124
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,459000000.0,459.00M,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,86.67,0.34,1482
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7510000000.0,7.51B,14.63,11.38,0.62,92233929
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,10.73,1.12,17569
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,461950000.0,461.95M,35.71,10.5,-0.19,215
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,59350000.0,59.35M,29.33,2.91,0.34,28809
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1750000000.0,1.75B,20.45,49.0,0.12,188380
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1620000000.0,1.62B,-,25.94,0.66,3007052
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7460000000.0,7.46B,62.37,91.49,0.53,905829
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3780000000.0,3.78B,-,62.95,3.2,2450748
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,29.93,-0.86,348421
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,14.01,0.43,1622547
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3570000000.0,3.57B,-,38.55,3.27,13455
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3775840000000.0,3775.84B,38.68,254.43,-0.4,39440553
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,-,-,27.91,0.09,809
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,-,-,32.3,-0.89,1598546
AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,-,-,41.01,-1.23,25137
AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,-,-,27.97,-0.89,123932
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,-,-,23.87,-0.37,3723
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,296810000.0,296.81M,-,13.68,3.4,177595
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1240000000.0,1.24B,16.59,20.2,-0.44,204074
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,2020000000.0,2.02B,-,17.51,2.64,175093
AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,53.75,0.24,137
AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,28.77,0.45,704
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,-,-,90.94,0.98,360933
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4190000000.0000005,4.19B,11.29,37.88,-0.05,100756
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,609130000.0,609.13M,-,5.16,17.81,19759555
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,394230000000.0,394.23B,106.20,223.16,1.16,4915394
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5100000000.0,5.10B,13.11,74.34,-0.69,406383
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1460000000.0,1.46B,-,4.87,2.74,3669547
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,-,-,30.1,-0.31,3360
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,273320000.0,273.32M,8.45,5.33,-2.02,920297
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,-,-,35.83,-0.01,17410
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,35710000000.0,35.71B,14.04,2.29,-0.43,43622897
ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,72.42,0.4,18191
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4730000000.0,4.73B,8.79,240.61,0.67,206699
ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,-,-,25.03,0.02,36
ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,-,-,31.52,0.39,982
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,572850000.0,572.85M,-,5.92,0.85,646528
ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,28.65,-2.33,6188
ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,30.79,0.56,985
ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,23.34,-0.57,3
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,43710000.0,43.71M,-,0.88,0.57,9684
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2790000000.0,2.79B,24.79,45.63,-0.33,380758
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,76390000000.0,76.39B,29.66,122.92,-0.63,3846676
ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,9.85,-0.37,5295
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,95700000.0,95.70M,-,1.58,11.27,409751
ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,40.74,0.28,33
ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,20600000.0,20.60M,-,0.26,17.9,9823918
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2310000000.0,2.31B,13.61,12.02,-0.25,1655214
ABSI,Absci Corp,Healthcare,Biotechnology,USA,444090000.0,444.09M,-,2.97,8.79,7137152
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,231670000000.0,231.67B,16.65,133.11,-0.33,4311054
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,1170000000.0,1.17B,-,6.62,0.61,3168740
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,19200000.0,19.20M,-,8.1,-3.46,68350
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,854970000.0,854.97M,-,4.46,1.13,844734
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,72510000.0,72.51M,-,3.08,-2.53,84066
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,82420000.0,82.42M,-,1.61,-1.23,1738814
ABVX,Abivax ADR,Healthcare,Biotechnology,France,6300000000.0,6.30B,-,83.33,0.59,744496
ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,19.61,-1.26,38
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4520000000.0,4.52B,49.17,92.25,-0.4,203455
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3600000000.0,3.60B,16.02,21.32,1.28,1867422
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,351680000.0,351.68M,-,6.23,28.19,13142206
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,359630000.0,359.63M,8.27,3.99,-1.72,653510
ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,41160000.0,41.16M,-,10.64,-1.02,3698
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,604720000.0,604.72M,-,3.73,-1.06,1001563
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,954210000.0,954.21M,27.75,11.32,-0.44,198535
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,-,-,32.33,0.55,25882
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,69160000.0,69.16M,-,0.83,-1.1,452242
ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,70790000.0,70.79M,9.96,28.3,-0.88,16817
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33530000000.0,33.53B,9.28,89.83,-1.16,1222619
ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,,-,-,64.94,0.31,9
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2270000000.0,2.27B,16.17,24.54,0.04,3945024
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6220000000.0,6.22B,-,9.65,3.99,45340972
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,155360000.0,155.36M,-,3.04,1.0,630379
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,9790000000.0,9.79B,10.66,17.48,-0.46,5569530
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,549100000.0,549.10M,6.83,11.26,-2.76,102077
