Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,,29.17,124.38,-1.24,1239904
AA,Alcoa Corp,Basic Materials,Aluminum,USA,,8.01,31.23,-0.95,7164961
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,25.1,0.28,5902
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,26.56,-0.29,4344
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,36.83,-0.89,1789963
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,,-,10.02,-1.57,8
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,,-,1.83,-10.29,112012
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,,-,10.33,-0.67,14923
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,,36.32,9.49,6.87,916175
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,85.66,-0.13,1806
