Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,39280000000.0,39.28B,32.49,138.54,7.94,3256462
AA,Alcoa Corp,Basic Materials,Aluminum,USA,8780000000.0,8.78B,8.70,33.92,3.12,4746067
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.01,0.04,8329
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.77,0.39,502
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,38.21,0.24,2407075
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,296720000.0,296.72M,-,10.18,0.09,3
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,45160000.0,45.16M,-,1.42,2.56,31151
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330750000.0,330.75M,-,10.47,0.35,2548
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,423120000.0,423.12M,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,86.69,-0.07,1320
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7440000000.0,7.44B,14.50,11.28,0.36,76890261
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,10.53,0.68,16678
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,462610000.0,462.61M,35.78,10.52,0.0,1492
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,58230000.0,58.23M,28.78,2.86,-0.52,20726
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1660000000.0,1.66B,19.39,46.46,-3.54,130459
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1760000000.0,1.76B,-,28.26,8.99,3091223
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7840000000.0,7.84B,65.56,96.16,2.91,614233
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3700000000.0,3.70B,-,61.75,0.57,823708
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,30.23,0.96,146890
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,13.95,-0.36,1135309
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3620000000.0,3.62B,-,39.12,0.2,2052
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3792160000000.0,3792.16B,38.84,255.53,0.35,32535033
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,-,-,27.97,0.14,19279
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,-,-,32.59,0.85,1964753
AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,-,-,41.24,0.43,20115
AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,-,-,28.24,0.68,151740
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,-,-,24.0,0.3,2518
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,320040000.0,320.04M,-,14.75,10.99,149740
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1250000000.0,1.25B,16.74,20.38,0.3,212155
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,2029999999.9999998,2.03B,-,17.62,0.63,100026
AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,,-,-,24.45,,529
AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,54.17,0.33,34
AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,28.83,0.26,390
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,-,-,92.28,1.16,772690
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4130000000.0,4.13B,11.12,37.33,-2.33,177711
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,614440000.0,614.44M,-,5.2,7.1,14494973
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,430450000000.0,430.45B,115.96,243.67,5.24,8400565
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5030000000.0,5.03B,12.92,73.26,-0.06,200068
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1760000000.0,1.76B,-,5.89,17.11,11471584
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,-,-,30.23,0.36,2008
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,270750000.0,270.75M,8.37,5.28,0.0,813893
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,-,-,35.88,-0.55,9237
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,34460000000.0,34.46B,13.55,2.21,-0.9,48045379
ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,72.14,0.24,15797
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4920000000.0,4.92B,9.15,250.47,2.46,103732
ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,-,-,25.03,0.0,14
ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,-,-,31.86,0.75,4654
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,558810000.0,558.81M,-,5.78,0.79,316929
ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,28.82,0.15,5619
ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,31.01,0.24,681
ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,22.6,-2.97,2
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,44450000.0,44.45M,19.27,0.9,0.01,2024
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2860000000.0,2.86B,25.38,46.71,1.28,530342
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,76110000000.0,76.11B,29.55,122.47,0.86,2553016
ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,9.82,0.82,6350
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,106310000.0,106.31M,-,1.75,2.63,372856
ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,40.62,0.29,5
ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,17930000.0,17.93M,-,0.22,-0.22,2279394
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2370000000.0,2.37B,13.96,12.33,0.98,1747008
ABSI,Absci Corp,Healthcare,Biotechnology,USA,464180000.0,464.18M,-,3.1,2.12,7031705
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,232130000000.0,232.13B,16.68,133.37,-0.42,8108647
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,1250000000.0,1.25B,-,7.11,5.42,5862797
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,24220000.0,24.22M,-,10.22,12.07,53617
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,871270000.0,871.27M,-,4.55,0.11,820164
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,70630000.0,70.63M,-,3.0,-1.32,25040
