Ticker,Company,Sector,Industry,Country,Market Cap,P/E,EPS next 5Y,Perf Week,Perf Month,52w High,52w Low,Rel Vol,Volume,Price,Change
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,,23.68,8.54,26.16,27.86,,,3.21,2834662,39.03,6.42
CLSK,Cleanspark Inc,Financial,Capital Markets,USA,,15.87,,24.38,41.85,,,2.33,37554555,13.93,1.38
ETNB,89bio Inc,Healthcare,Biotechnology,USA,,-,13.66,85.69,56.94,,,3.98,8918821,14.8,-0.48
FLY,Firefly Aerospace Inc,Industrials,Aerospace & Defense,USA,,-,,-4.29,-8.98,,,1.55,2256176,41.97,-15.25
GGAL,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,,4.56,0.46,7.07,-28.45,,,2.56,3455217,32.39,1.12
HUT,Hut 8 Corp,Financial,Capital Markets,USA,,25.21,,1.57,52.25,,,1.55,6020430,35.58,-6.05
KC,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,China,,-,,-0.09,8.27,,,2.67,3611229,16.04,-4.32
MTSR,Metsera Inc,Healthcare,Biotechnology,USA,,-,32.52,59.38,60.34,,,3.04,3497649,52.99,-1.09
ONDS,Ondas Holdings Inc,Technology,Communication Equipment,USA,,-,76.42,22.33,65.92,,,1.50,36154113,7.45,2.62
OPCH,Option Care Health Inc,Healthcare,Medical Care Facilities,USA,,22.25,10.64,1.33,-2.83,,,1.67,1900951,27.93,-2.6
