No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,,29.63,126.36,0.03,347306
,AA,Alcoa Corp,Basic Materials,Aluminum,USA,,8.01,31.21,-4.35,3462279
,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,25.04,-0.08,2582
,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,26.71,-0.15,991
,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,37.31,0.82,1260461
,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,,-,10.15,0.0,6
,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,,-,2.11,-12.08,237061
,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,,-,10.4,0.48,81161
,AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,,36.85,9.63,-15.53,585703
,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,86.07,0.0,2579
