Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,40160000000.0,40.16B,33.22,141.64,2.12,2325181
AA,Alcoa Corp,Basic Materials,Aluminum,USA,8930000000.0,8.93B,8.85,34.5,-0.95,5781323
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.02,0.08,4649
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.81,0.05,293
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,38.36,0.81,1701468
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,295870000.0,295.87M,-,10.15,0.0,649720
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,44350000.0,44.35M,-,1.39,-1.42,40522
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330750000.0,330.75M,-,10.47,-0.19,397
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,1350000000.0,1.35B,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,86.15,-0.28,3521
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7640000000.0,7.64B,14.89,11.58,1.31,76601065
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,11.19,3.61,24415
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,463490000.0,463.49M,35.85,10.54,0.19,1594
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,56600000.0,56.60M,27.97,2.78,-1.94,27814
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1660000000.0,1.66B,19.30,46.24,0.04,230228
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1740000000.0,1.74B,-,27.93,-0.18,3930799
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,8020000000.0,8.02B,67.03,98.32,-0.03,831655
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3680000000.0,3.68B,-,61.34,-1.29,1113369
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,30.75,0.52,223910
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,13.83,-0.22,1553466
