No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,market_cap_numeric
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,40.16B,33.22,141.64,0.0212,2325181,40160000000.0
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,8.93B,8.85,34.5,-0.0095,5781323,8930000000.0
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,,25.02,0.0008,4649,
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,,26.81,0.0005,293,
5,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,,38.36,0.008100000000000001,1701468,
6,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,295.87M,,10.15,0.0,649720,295870000.0
7,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,44.35M,,1.39,-0.014199999999999999,40522,44350000.0
8,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330.75M,,10.47,-0.0019,397,330750000.0
9,AACT,Kodiak AI Inc,Financial,Shell Companies,USA,1.35B,36.32,9.49,0.0,0,1350000000.0
10,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,,86.15,-0.0028000000000000004,3521,
11,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.64B,14.89,11.58,0.0131,76601065,7640000000.0
12,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,,11.19,0.0361,24415,
13,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,463.49M,35.85,10.54,0.0019,1594,463490000.0
14,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,56.60M,27.97,2.78,-0.0194,27814,56600000.0
15,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.66B,19.3,46.24,0.0004,230228,1660000000.0
16,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1.74B,,27.93,-0.0018,3930799,1740000000.0
17,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,8.02B,67.03,98.32,-0.0003,831655,8020000000.0
18,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.68B,,61.34,-0.0129,1113369,3680000000.0
19,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,,30.75,0.0052,223910,
20,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,,13.83,-0.0022,1553466,
21,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3.65B,,39.38,-0.0101,5681,3650000000.0
22,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3829.12B,39.22,258.02,0.0034999999999999996,49079121,3829120000000.0
23,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,-,,27.95,-0.0002,221,
24,AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,,33.19,0.0060999999999999995,2579678,
25,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,,41.49,-0.0086,28876,
26,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,,28.74,0.006,153285,
27,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,,24.23,0.0038,1599,
28,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,348.89M,,16.08,0.0462,171012,348890000.0
29,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.25B,16.76,20.4,0.0059,379285,1250000000.0
30,AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,2.10B,,18.21,-0.0098,768730,2100000000.0
31,AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,-,,24.88,0.0089,636,
32,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,-,,54.19,-0.0003,487,
33,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,-,,29.01,0.0045000000000000005,681,
34,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,,93.08,0.0022,664321,
35,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4.25B,11.45,38.42,0.0226,127865,4250000000.0
36,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,576.07M,,4.88,-0.0259,18035069,576070000.0
