No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,EPS next 5Y,Perf Week,Perf Month
1,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,,,10.15,0.20%,917
2,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,,,2.45,-2.49%,"28,179"
3,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,,,10.35,0.49%,715
4,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,85.96,1.46%,"4,948"
5,AAL,American Airlines Group Inc,Industrials,Airlines,USA,,16.01,12.45,-1.03%,"80,490,488"
6,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,,12.89,-2.02%,"14,384"
7,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,,34.78,3.45,0.58%,"66,035"
8,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,,,28.99,-0.17%,"4,314,755"
9,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,,62.42,91.56,3.29%,"2,297,253"
10,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,,27.95,6.06%,"474,078"
11,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,,14.67,-3.04%,"2,020,657"
12,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,,,38.85,-1.27%,"20,930"
13,AAPL,Apple Inc,Technology,Consumer Electronics,USA,,37.32,245.5,3.20%,"163,316,920"
14,AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,30.39,6.22%,"5,559,517"
15,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,,,10.89,-3.54%,"407,766"
16,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,,53.83,0.58%,46
17,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,,28.61,-0.17%,"9,352"
18,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,91.11,-0.45%,"500,466"
19,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,,,3.3,10.00%,"16,578,393"
20,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,,,4.51,-4.45%,"5,937,194"
21,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,,30.21,-0.62%,"5,072"
22,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,,8.53,5.38,-4.61%,"1,627,602"
23,ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,,25.03,-0.02%,16
24,ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,,31.74,0.50%,527
25,ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,,,6.23,-4.01%,"6,303,463"
26,ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,,,0.95,5.04%,"1,357"
27,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,,30.65,127.04,1.25%,"9,143,162"
28,ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,,,1.26,-4.55%,"216,040"
29,ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,,,0.24,22.00%,"11,847,958"
30,ABSI,Absci Corp,Healthcare,Biotechnology,USA,,,2.61,-2.97%,"8,614,405"
31,ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,,,7.11,-4.95%,"4,436,783"
32,ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,,,7.32,32.91%,"176,100"
33,ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,,,4.25,-3.85%,"2,309,481"
34,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,,,2.84,4.41%,"278,455"
35,ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,,,1.61,8.05%,"2,364,629"
36,ABVX,Abivax ADR,Healthcare,Biotechnology,France,,,82.3,-1.21%,"584,313"
37,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,,18.35,24.42,-1.35%,"3,336,693"
38,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,,,5.09,-1.74%,"808,193"
39,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,,,3.59,-3.75%,"3,182,181"
40,ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,,,0.79,-1.92%,"501,837"
41,ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,,10.14,28.8,-0.28%,"78,738"
42,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,,9.13,88.4,0.24%,"4,081,923"
43,ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,,14.59,22.14,0.32%,"18,782,603"
44,ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,,,2.82,-1.74%,"1,766,433"
45,ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,,6.79,11.2,0.54%,"353,006"
46,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,,,2.45,-2.78%,"130,620"
47,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,,21.54,50.89,-0.47%,"2,918,499"
48,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,,19.56,95.65,-1.04%,"1,151,671"
49,ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,,,77.86,-2.65%,"825,799"
50,ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,,21.78,35.89,-0.55%,"1,788,236"
51,ACNB,ACNB Corp,Financial,Banks - Regional,USA,,16.74,45.16,-1.87%,"65,378"
52,ACNT,Ascent Industries Co,Basic Materials,Steel,USA,,,12.89,2.22%,"225,610"
53,ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,,,8.02,-6.53%,"258,064"
54,ACON,Aclarion Inc,Healthcare,Health Information Services,USA,,,9.4,14.63%,"98,357"
55,ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,,,1.91,-2.05%,"2,041,978"
